Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL3687341,Cc1c(N(Cc2ccc(C(C)(O)C(F)(F)F)c(F)c2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.26
CHEMBL3687351,Cc1c(N(C2CCc3cc(OC(F)(F)F)ccc32)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.68
CHEMBL3687357,O=C([O-])c1ccc(S(=O)(=O)N(Cc2ccc(C(F)(F)C3CC3)c(Cl)c2)c2ncc3ccccc3c2C2CC2)cc1,8.92
CHEMBL3687395,COC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)C(F)(F)C(F)(F)F,8.23
CHEMBL3687405,O=C([O-])c1ccc(S(=O)(=O)N(Cc2cc3c(F)cc(F)cc3s2)c2ncc3ccccc3c2C(F)(F)F)cc1,8.3
CHEMBL3577906,C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccn2n1,6.63
CHEMBL3687336,Cc1c(N(Cc2ncc(CC3CC3)cn2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,6.25
CHEMBL3687347,Cc1c(N(Cc2cc(F)c3c(c2)CCC3)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.36
CHEMBL4237740,C[C@H](NC(=O)N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1C(F)(F)F)C(F)(F)F,7.29
CHEMBL3899728,NC(=O)[C@@H](c1ccccc1)N(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccccc1,5.3
CHEMBL3917717,COc1cccc([C@@H](C)N(C(=O)c2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1,6.62
CHEMBL3943602,COc1cccc(CN(C(=O)c2cccs2)[C@@H](C(N)=O)c2ccccc2)c1,5.77
CHEMBL4446849,O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccccc1C(=O)O,4.5
CHEMBL4454519,O=C(/C=C/c1ccc(Br)cc1)Nc1ccccc1C(=O)O,4.2
CHEMBL4533807,C/C=C(\C)[C@H]1C(C)=C[C@H]2C[C@@H](C)C[C@H]3C(=O)/C(=C\NCCO)C(=O)[C@]1(C)[C@H]23,4.21
CHEMBL4249999,O=C(N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1C(F)(F)F)c1cccnc1,7.46
CHEMBL4247268,N#Cc1ccc(C(=O)N[C@@H](c2ccc(C(F)(F)F)cc2)c2ncccc2C(F)(F)F)cc1,7.57
CHEMBL2443065,O=C(Nc1nc(C(F)(F)F)cs1)N1CCC2(CCc3cccc(Cl)c3O2)CC1,6.58
CHEMBL3973096,COc1cc(CN(CC(N)=O)C(=O)c2cccs2)ccc1OCc1ccc(F)cc1,5.04
CHEMBL4517528,O=C(/C=C/c1ccccc1Cl)Nc1ccccc1C(=O)O,4.7
CHEMBL2443075,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)CC(O)c1cccc(F)c1O2,7.65
CHEMBL2443074,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CC1)CC(O)c1cccc(Br)c1O2,7.35
CHEMBL2443086,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CCc3cccc(Cl)c3O2)CC1,7.39
CHEMBL2443085,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CCc3cccc(Br)c3O2)CC1,7.72
CHEMBL2442037,CCCN(C(=O)c1ccccc1OCc1ccccc1)[C@@H]1CCC[C@H](N)C1,5.91
CHEMBL3235965,O=C(Nc1cccnc1)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,7.55
CHEMBL2032210,O=C(Nc1ccc(F)cc1)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,7.44
CHEMBL3235980,N#Cc1ccc(NC(=O)N2CCc3cccnc3[C@H]2c2ccc(C(F)(F)F)cc2)cc1,7.1
CHEMBL3235982,C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)nc1)C(F)(F)F,7.28
CHEMBL3235984,C[C@H](NC(=O)N1CCc2cccnc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F,7.92
CHEMBL2442015,CCN(C(=O)c1ccccc1OCc1cccc(Cl)c1)C1CCCC(N)C1,7.01
CHEMBL4647444,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2)N1Cc1ccccc1,7.91
CHEMBL3235964,O=C(Nc1ccccn1)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,6.77
CHEMBL3235961,N#Cc1ccccc1NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,6.37
CHEMBL3235979,O=C(Nc1cccnc1)N1CCc2cccnc2[C@H]1c1ccc(C(F)(F)F)cc1,7.62
CHEMBL3682559,Cc1c(N(Cc2ccc(OCC3CC3)cc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,7.52
CHEMBL3682599,Cc1c(N(Cc2ccc3c(Cl)cn(C)c3c2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.24
CHEMBL2443078,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)C[C@H](O)c1cccc(F)c1O2,7.03
CHEMBL2443084,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CCc3cccc(Cl)c3O2)CC1,7.31
CHEMBL3235976,O=C(Nc1ccc(F)cc1)N1CCc2cccnc2[C@H]1c1ccc(C(F)(F)F)cc1,7.85
CHEMBL3353572,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.21
CHEMBL3353588,O=C(O)c1ccc(S(=O)(=O)N(CCc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1,6.12
CHEMBL3353598,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(F)cc2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.4
CHEMBL3353603,N#CC1(c2ccc(CN(c3ncc(C(F)(F)F)cc3Cl)S(=O)(=O)c3ccc(C(=O)O)cc3)cc2)CC1,7.17
CHEMBL3682548,Cc1c(N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,7.03
CHEMBL3682550,Cc1c(N(Cc2ccc(CC3CC3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.34
CHEMBL3687384,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(-c2cccnc2)c2ccccc12,6.94
CHEMBL3687393,COC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1Cl)C(F)(F)F,8.8
CHEMBL3687396,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(C(C)C)c2ccccc12,8.55
CHEMBL8165,COc1ccc2[nH]cc(CCN)c2c1,4.91
CHEMBL460302,NCCc1c[nH]c2c(OCc3ccccc3)cccc12,5.05
CHEMBL1173240,Cc1nc(Nc2cccc3c2C[C@H](O)CC3)oc1-c1ccc(C(F)(F)F)cc1,4.36
CHEMBL2442030,N[C@H]1CCC[C@@H](N(CC2CC2)C(=O)c2ccccc2OCc2ccccc2)C1,6.23
CHEMBL3299022,FC(F)(F)c1ccccc1-c1cc2cn[nH]c2cc1OCC1CC1,5.36
CHEMBL3353584,Cc1cc(C(F)(F)F)cnc1N(Cc1ccccc1)S(=O)(=O)c1ccc(C(=O)O)cc1,6.13
CHEMBL3353578,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncccc2Cl)cc1,5.01
CHEMBL3682616,Cc1c(N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(C2CC2)c2ccccc12,7.92
CHEMBL3687337,Cc1c(N(Cc2cc3c(Cl)cccc3n2C)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,7.68
CHEMBL3687359,Cc1nc2cc(CN(c3ncc4ccccc4c3C)S(=O)(=O)c3ccc(C(=O)O)cc3)ccc2s1,6.81
CHEMBL4251467,O=C(O)c1ccc(C(=O)N[C@@H](c2ccc(C(F)(F)F)cc2)c2ncccc2C(F)(F)F)nc1,8.0
CHEMBL4242403,O=C(N[C@@H](c1cccc(C(F)(F)F)c1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,6.8
CHEMBL4246078,O=C(N[C@@H](c1ccccc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,6.41
CHEMBL3353592,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2C(F)(F)F)c2ncc(C(F)(F)F)cc2Cl)cc1,7.57
CHEMBL3235970,C[C@@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1)C(F)(F)F,7.28
CHEMBL3577882,C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2cc[nH]c2cn1,6.02
CHEMBL2442036,CN(C(=O)c1ccccc1OCc1ccccc1)[C@@H]1CCC[C@H](N)C1,5.5
CHEMBL3682547,Cc1cc2ccccc2nc1N(Cc1ccc(F)c(C(F)(F)F)c1)S(=O)(=O)c1ccc(C(=O)O)cc1,7.92
CHEMBL3577901,COc1ccc(C(C)N(Cc2cccc(C(=O)O)c2)C(=O)c2cnc3ccccc3c2)cc1,5.21
CHEMBL3577883,C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2s1,6.84
CHEMBL3235981,C[C@H](NC(=O)N1CCc2cccnc2[C@H]1c1ccc(C(F)(F)F)cc1)C(F)(F)F,7.6
CHEMBL3298922,FC(F)(F)c1ccccc1-c1cc2cn[nH]c2cc1Cl,4.77
CHEMBL2443071,O=C1CC2(CCN(C(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)Oc2c(Br)cccc21,6.97
CHEMBL3235960,O=C(O)c1ccc(NC(=O)N2CCc3ccccc3[C@H]2c2ccc(C(F)(F)F)cc2)cc1,5.86
CHEMBL3889978,C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1N)[C@@H](C(N)=O)c1ccccc1,6.38
CHEMBL3353571,O=C(O)c1cccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)c1,6.39
CHEMBL3353597,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc(C(F)(F)F)cc2Cl)cc1,8.08
CHEMBL3298242,FC(F)(F)c1ccccc1-c1ccc2[nH]ncc2c1,5.05
CHEMBL2443063,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)C[C@@H](O)c1cccc(Br)c1O2,7.78
CHEMBL2443061,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)C[C@@H](O)c1cccc(Cl)c1O2,8.05
CHEMBL2443076,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)CC(O)c1cccc(Cl)c1O2,7.88
CHEMBL2442022,CCN(C(=O)c1ccccc1OCc1ccccc1)[C@@H]1CCC[C@H](N)C1,7.12
CHEMBL3934736,COc1cccc(CN(C(=O)c2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1,6.05
CHEMBL3908930,COc1cccc(CN(C(=O)c2cccs2)[C@H](C(N)=O)c2ccccc2)c1,4.27
CHEMBL3927831,NC(=O)[C@@H](c1ccccc1)N(Cc1cccc(F)c1)C(=O)c1ccccc1,5.09
CHEMBL3353581,Cc1cnc(N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(Cl)c1,6.15
CHEMBL3353570,O=C(O)c1ccccc1S(=O)(=O)N(Cc1ccccc1)c1ncc(C(F)(F)F)cc1Cl,4.8
CHEMBL3352829,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccn2)c2ncc(C(F)(F)F)cc2Cl)cc1,5.08
CHEMBL3353594,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(C(F)(F)F)cc2)c2ncc(C(F)(F)F)cc2Cl)cc1,8.05
CHEMBL2443087,N#Cc1ccc(NC(=O)N2CCC3(CCc4cccc(Cl)c4O3)CC2)cc1,6.26
CHEMBL2443083,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CCc3cccc(F)c3O2)CC1,7.01
CHEMBL2443080,O=C(Nc1ccccc1)N1CCC2(CCc3ccccc3O2)CC1,5.62
CHEMBL3897350,NC(=O)[C@@H](c1ccccc1)N(Cc1cccc(Cl)c1)C(=O)c1ccccc1,5.52
CHEMBL3970879,NC(=O)[C@@H](c1ccccc1)N(Cc1cccc(OC(F)(F)F)c1)C(=O)c1ccccc1,5.33
CHEMBL3908765,NC(=O)[C@@H](c1ccccc1)N(Cc1ccccc1Cl)C(=O)c1ccccc1,5.25
CHEMBL3979103,NC(=O)[C@@H](c1ccccc1)N(Cc1ccc(Cl)cc1)C(=O)c1ccccc1,4.55
CHEMBL3918002,C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1cccnc1,5.39
CHEMBL3898903,C[C@H](c1cccc(Cl)c1)N(C(=O)c1cccnc1)[C@@H](C(N)=O)c1ccccc1,5.6
CHEMBL3916922,Cc1ccc(C(=O)N([C@H](C)c2cccc(Cl)c2)[C@@H](C(N)=O)c2ccccc2)cc1,6.07
CHEMBL3353600,CC(C)(C)c1ccc(CN(c2ncc(C(F)(F)F)cc2Cl)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1,9.02
CHEMBL2442011,CCN(C(=O)c1ccccc1OCc1cccc(C#N)c1)C1CCCC(N)C1,6.31
CHEMBL2442020,CCN(C(=O)c1ccccc1OCc1ccccc1C)[C@H]1CCC[C@@H](N)C1,6.54
CHEMBL2442031,CC(C)N(C(=O)c1ccccc1OCc1ccccc1)[C@@H]1CCC[C@H](N)C1,5.06
CHEMBL3218118,N#Cc1ccc(OCC2(O)CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C2)cc1F,5.02
CHEMBL4245270,O=C(N[C@H](c1ncccc1C(F)(F)F)C1CCCCC1)c1ccc2cccnc2c1,6.52
CHEMBL4242867,O=C(N[C@@H](c1ccc(OC(F)(F)F)cc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,7.66
CHEMBL3218114,N#Cc1ccc(OCC2(O)CCN(S(=O)(=O)c3ccc(Cl)cc3Cl)CC2)cc1,5.32
CHEMBL3353610,Cc1c(N(Cc2ccc(C(F)(F)F)c(F)c2)S(=O)(=O)c2ccc(C(=O)O)cc2)sc2ccccc12,8.21
CHEMBL5281065,CCOC(=O)c1sc(-c2ccccc2)nc1NC(=O)C(F)(F)F,5.11
CHEMBL5271247,CCn1nnc(-c2sc(-c3ccccc3C)nc2O)n1,7.22
CHEMBL5280621,CCn1nnc(-c2sc(-c3ccccc3OC)nc2O)n1,5.55
CHEMBL5290167,CCn1nnc(-c2sc(-c3cccc(OC)c3)nc2O)n1,6.61
CHEMBL2442010,CCN(C(=O)c1ccccc1OCc1ccc(C#N)cc1)C1CCCC(N)C1,5.17
CHEMBL2442017,CCN(C(=O)c1ccccc1OCc1ccccc1Cl)[C@@H]1CCC[C@H](N)C1,7.52
CHEMBL5285498,COC(=O)c1sc(-c2ccccc2)nc1O,6.88
CHEMBL5274340,CCn1nnc(-c2sc(-c3cccc(NC)c3)nc2O)n1,5.99
CHEMBL5270507,CCn1nnc(-c2sc(-c3cccc(F)c3)nc2O)n1,7.67
CHEMBL5285661,O=C(c1sc(-c2cccc(F)c2)nc1O)N1CCCO1,7.92
CHEMBL5286892,O=C(c1sc(-c2ccccc2O)nc1O)N1CCCO1,8.26
CHEMBL4777635,Cc1c(F)cc(F)cc1[C@@H](C)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,5.7
CHEMBL5181908,CC(C)c1cccc(NC(=O)N2CCC[C@H]2c2ncc(-c3ccccc3)s2)c1,5.13
CHEMBL4251427,O=C(N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1C(F)(F)F)c1ccc(=O)[nH]c1,8.22
CHEMBL4245257,O=C(N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,7.75
CHEMBL5275778,NCCc1c[nH]c2ccc(Oc3ccccc3)cc12,6.47
CHEMBL4244629,C[C@H](NC(=O)N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1Br)C(F)(F)F,7.23
CHEMBL3353586,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(C(F)(F)F)cn2)cc1,5.53
CHEMBL3353573,O=S(=O)(c1ccc(CO)cc1)N(Cc1ccccc1)c1ncc(C(F)(F)F)cc1Cl,7.38
CHEMBL3353569,O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ncc(C(F)(F)F)cc1Cl,6.74
CHEMBL5276487,O=C(c1sc(-c2cccc(F)c2)nc1O)N1CCOC1,5.26
CHEMBL4762495,NC(=O)[C@@H](c1ccccc1)N(C(=O)c1cccnc1)[C@@H]1CCc2c(F)cc(Cl)cc21,6.96
CHEMBL5280897,CC(C)C(=O)c1sc(-c2cccc(F)c2)nc1O,6.52
CHEMBL5282082,Cc1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)N2CCC(C(=O)O)CC2)sc2ccccc12,7.58
CHEMBL5281532,CON(C)C(=O)c1sc(-c2cccc(F)c2)nc1O,7.02
CHEMBL3981569,COc1cccc(CN(C(=O)Cc2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1,4.72
CHEMBL3892508,COc1cccc(CN(C(=O)c2cccs2)[C@H](Cc2ccccc2)C(N)=O)c1,4.43
CHEMBL2387541,CCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,7.7
CHEMBL497318,CCCCCc1cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1,6.8
CHEMBL2443077,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)CC(O)c1cccc(Br)c1O2,7.71
CHEMBL2443073,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CC1)CC(O)c1cccc(Cl)c1O2,7.18
CHEMBL2443081,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CCc3ccccc3O2)CC1,6.55
CHEMBL3682572,Cc1c(N(Cc2ccc(-c3ccccc3)cn2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.17
CHEMBL3682588,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2cc3c(Cl)cccc3cn2)cc1,6.94
CHEMBL3682613,Cc1cccc2c(C)c(N(Cc3ccc(OC(F)(F)F)cc3)S(=O)(=O)c3ccc(C(=O)O)cc3)ncc12,7.51
CHEMBL3577904,C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2cn1,7.22
CHEMBL3577900,CC[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,6.7
CHEMBL3577893,C[C@H](c1ccc(F)cc1)N(Cc1cc(C(=O)O)ccc1F)C(=O)c1cnc2ccccc2c1,6.35
CHEMBL2387742,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)cc1O,6.05
CHEMBL2443067,O=C1CC2(CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)Oc2c(F)cccc21,6.53
CHEMBL2443062,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CC1)C[C@H](O)c1cccc(Br)c1O2,7.22
CHEMBL3353583,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2F)cc1,6.67
CHEMBL4247089,O=C(N[C@@H](c1ccc(F)cc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,6.89
CHEMBL2443072,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CC1)CC(O)c1cccc(F)c1O2,7.04
CHEMBL375696,CCCCC/C=C/C/C=C\C/C=C/C/C=C/CCCC(=O)NCCO,6.82
CHEMBL2442034,N[C@H]1CCC[C@@H](N(C(=O)c2ccccc2OCc2ccccc2)C2CC2)C1,5.7
CHEMBL3682566,Cc1c(N(Cc2ccc3c(c2)CCCC3)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.33
CHEMBL3682564,Cc1c(N(Cc2ccc(OCC3CC3)c(F)c2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,7.58
CHEMBL3687368,Cc1c(N(Cc2sc3ccccc3c2Cl)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.34
CHEMBL3687369,Cc1c(N(Cc2cc3ccc(Cl)cc3s2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.96
CHEMBL3687380,Cc1c(N(Cc2ccc(C(F)(F)C3(C)CC3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,9.0
CHEMBL3687399,CCOc1nc(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(C)c2ccccc12,8.14
CHEMBL3353576,CN(C)C(=O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.17
CHEMBL3353605,CCn1ncc2cc(CN(c3ncc(C(F)(F)F)cc3Cl)S(=O)(=O)c3ccc(C(=O)O)cc3)ccc21,7.34
CHEMBL5287633,COc1cc(CN(CCN)C(=O)NC(C)c2ccccc2)ccc1OCc1ccccc1,10.3
CHEMBL5282846,CCn1nnc(-c2sc(-c3cccnc3)nc2O)n1,5.86
CHEMBL3687407,Cc1c(N(Cc2ccc3[nH]cc(Cl)c3c2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,6.28
CHEMBL3682584,COC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)C(F)(F)F,8.33
CHEMBL3687388,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2cc3c(C4CC4)cccc3cn2)cc1,6.62
CHEMBL3687400,COc1nc(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(C)c2cccc(C)c12,7.36
CHEMBL3687411,CCONC(=O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C)cc1,7.75
CHEMBL5290716,CCn1nnc(-c2sc(-c3ccccc3O)nc2O)n1,7.62
CHEMBL5268891,CCn1nnc(-c2sc(-c3cccc(O)c3)nc2O)n1,6.62
CHEMBL5271941,CCOC(=O)c1sc(-c2ccc(F)cc2)nc1O,7.1
CHEMBL3910516,COc1cccc(CN(C(=O)c2ccccc2)C(C(=O)O)c2ccccc2)c1,4.23
CHEMBL3900408,NC(=O)[C@@H](c1ccccc1)N(Cc1ccccc1)C(=O)c1ccccc1,4.96
CHEMBL4248077,O=C(N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1F)c1ccc(=O)[nH]c1,8.0
CHEMBL4446136,COc1ccccc1/C=C/C(=O)Nc1ccccc1C(=O)O,4.4
CHEMBL4458679,C/C(=C\c1ccccc1)C(=O)Nc1ccccc1C(=O)O,4.57
CHEMBL3353589,O=C(O)c1ccc(S(=O)(=O)N(CCCc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.31
CHEMBL3353574,NC(=O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.16
CHEMBL3353607,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc3ccoc3c2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.75
CHEMBL3577895,C[C@H](c1ccc(F)cc1)N(Cc1cccc(-c2nn[nH]n2)c1)C(=O)c1cnc2ccccc2c1,5.79
CHEMBL3577905,CC[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccn2n1,6.91
CHEMBL3577889,C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccc2cn1,7.05
CHEMBL3577884,CC(c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1ccc2c(c1)CCO2,5.44
